Date,Indonesia.1,India,Thailand,South_Africa,Hungary,Mexico,Poland,USD_EM_Index
1/4/2010,159.7268121,87.59,42.29,75.883,53.60580596,0,375.2883496,-0.111266836
2/4/2010,0,0,-57.17,0,5.368996526,0,-173.005898,-0.048595387
5/4/2010,0,-213.68,0,0,0,244.493173,0,-0.140646053
6/4/2010,-20.99447514,-63.03,0,107.242,71.58621212,865.2690592,231.9931476,-0.062676539
7/4/2010,-40.86140254,254.38,58.44,21.166,21.78050749,568.6535873,397.531423,-0.059916119
8/4/2010,347.3370824,-49.45,0,49.113,19.88253669,786.5543125,-117.0893552,0.050588979
9/4/2010,59.7874225,129.87,42.65,-35.615,36.99240175,27.56468206,481.0973908,-0.262345045
12/4/2010,-36.58536585,-96.51,46.06,67.002,-201.2443223,73.00205508,15.06420405,-0.017874457
13/4/2010,221.5330084,-49.24,0,115.304,-10.37406458,170.3785159,100.1791863,0.142387364
14/4/2010,112.0603573,0,0,315.19,-54.14713501,98.72209455,-393.3458327,-0.248244673
15/4/2010,45.51509769,72.53,0,308.46,112.0418961,470.9738873,-49.86981915,0.00593014
16/4/2010,44.40497336,326.14,15.14,407.502,-55.03092146,160.6130674,174.5553274,0.211486328
19/4/2010,75.22123894,-56.87,7.41,14.437,14.86977239,30.04076308,314.1278365,0.328138282
20/4/2010,1.108893324,-80.12,0,283.318,-1.683631362,272.3541392,-190.5167342,-0.333952073
21/4/2010,0,-54.93,7.34,51.867,55.27492493,94.94950324,-159.3331947,-0.15814009
22/4/2010,0,-1.53,36.35,-20.41,-19.22635651,-560.5841567,24.28976787,0.242821921
23/4/2010,462.7163782,284.03,5.16,-19.625,135.5523221,-202.6271743,166.8816166,-0.184815108
26/4/2010,0,346.22,-10.02,11.871,53.558248,-20.62280543,437.9903482,-0.226604588
27/4/2010,168.6452901,107.6,84.17,0,-43.5290976,-801.8598799,367.3500838,0.404158134
28/4/2010,168.1229952,-156.21,60.67,-148.141,-58.03702988,571.9308754,56.53541709,0.423710366
29/4/2010,13.30671989,-102.62,12.3,2.72,-54.18046374,-188.2748706,1.582192709,-0.566662969
30/4/2010,0,56.19,35.4,147.797,-164.2529879,373.8943486,-270.4866987,-0.131089617
3/5/2010,-93.02325581,116.73,0,2.699,-0.922047127,55.89149662,0.252499748,0.266676382
4/5/2010,39.88919668,-46.12,89.02,31.511,-31.48101266,-62.36826287,113.19061,0.411033659
5/5/2010,19.79544705,-94.14,0,-228.51,-14.36670885,26.05481449,-367.7517579,0.652620074
6/5/2010,104.4841097,61.41,1.97,-42.637,-45.7264286,-758.6900228,36.72591657,0.90893135
7/5/2010,-66.18923611,-24.41,16.81,-315.065,-189.2266245,104.1104342,-455.5957908,0.085612874
10/5/2010,-99.17355372,126.32,0,116.509,-53.05271687,93.96770773,-51.58323521,-1.186376269
11/5/2010,-318.2267091,-60.18,31.04,119.671,-96.36544406,376.6561186,244.1935788,0.04956018
12/5/2010,73.6587511,-167.03,75.54,0,43.99618658,-55.91154414,291.2627246,-0.097189883
13/5/2010,0,-150.34,14.05,175.762,-10.45686238,-264.2830555,417.1772915,-0.279342023
14/5/2010,-4.395604396,143.72,43.85,172.112,4.387077733,159.9482916,430.1280473,0.63063008
17/5/2010,-9.843596194,164.26,0.21,76.537,8.771204373,-66.84774896,30.64540997,0.589479437
18/5/2010,-2.194426158,85.98,0,336.097,0.712709896,204.1296311,341.8964014,-0.371112127
19/5/2010,-101.2961551,302.43,11.48,-400.533,-4.27514511,16.85551198,-55.09138381,1.127643709
20/5/2010,156.5029682,81.12,0,-217.582,-14.61551747,-351.0489887,-91.52831885,0.798332818
21/5/2010,33.40157311,125.92,0,-113.024,27.41351702,-797.1291388,49.52782617,-0.366081088
24/5/2010,0,195.65,0,13.928,0,-320.9667173,-165.7518978,0.066861278
25/5/2010,-191.9385797,128.66,12.93,-9.064,-58.57233469,-46.07498524,219.7498059,0.889798905
26/5/2010,52.5751073,-175.05,0,-120.486,79.06470248,354.9557658,209.1440033,-0.519749818
27/5/2010,-151.0574018,0,-16.17,72.881,-20.94996903,250.629029,57.50434438,-0.641699228
28/5/2010,0,-336.1,0,-118.157,106.9540617,223.1066649,126.4992481,-0.216739983
1/6/2010,-17.2972973,133.44,-8.41,174.303,-4.422747817,-9.648782757,293.483106,0.445096506
2/6/2010,82.16216216,123.51,0,112.297,1.844004245,-33.09788329,-140.7415172,-0.186679112
3/6/2010,120.7440444,459.08,-6.02,10.252,13.96454537,-366.9175809,0.103290542,-0.40377994
4/6/2010,-112.078346,117.31,32.72,20.089,-38.38086556,16.16612679,-87.38083651,0.444633178
7/6/2010,-122.9640815,53.78,26.82,165.266,-14.78289063,746.6302558,482.7721581,0.454913739
8/6/2010,51.85825411,82.81,58.57,18.459,-137.0515822,10.4482118,-29.4581738,-0.043680861
9/6/2010,-52.95579812,-17.82,47.78,82.707,64.87212298,-34.25143636,144.5128116,-0.244664001
10/6/2010,246.6731581,-62.91,8.71,188.85,-36.67782713,-155.906006,32.97916543,-0.239208398
11/6/2010,147.826087,-67.7,-30.28,99.226,-46.98654689,107.5772066,-26.74576471,-0.18708777
14/6/2010,0,-112.56,0,67.075,-9.50353434,-66.23628808,-30.97674419,-0.448128131
15/6/2010,224.5231608,54.54,22.94,171.937,12.32777173,-25.59847325,90.08382433,-0.013103131
16/6/2010,0,-5.4,19.34,0,-128.5645908,119.1920638,-61.43436667,-0.138754717
17/6/2010,74.25202009,42.78,103.27,50.988,10.07872734,-476.2384457,232.2866002,-0.0543345
18/6/2010,184.5545425,28.8,22.29,146.594,26.79455029,-15.98211969,93.74691966,-0.255992835
21/6/2010,255.1303383,51.23,180.39,-3.604,-29.62542343,-15.77577578,150.5579816,-0.746641294
22/6/2010,199.5786673,65.17,23.25,147.641,0.418428471,169.4198741,130.4896075,0.427568521
23/6/2010,94.07858329,56.62,174.73,131.523,92.46019213,104.6684602,7.535512009,0.401282024
24/6/2010,178.7882132,22.45,0,-9.638,-105.5663802,21.30301119,80.84825975,0.170424866
25/6/2010,318.9845475,-144.22,-10.07,-391.339,81.46898092,-120.4448131,-4.983179142,0.050165481
28/6/2010,45.4092369,-814.69,31.19,-22.347,-27.7654046,43.11163615,-126.8399291,-0.19479914
29/6/2010,20.96204766,31.63,0,15.131,-2.587784635,151.9369711,65.80900689,0.674018207
30/6/2010,34.16354419,0,8.92,-203.676,-134.533177,29.77263909,-535.0174113,-0.080521133
1/7/2010,22.04828575,-84.24,0,58.414,-7.527263352,218.6477607,135.6556267,0.412554771
2/7/2010,36.41982121,209.57,38.3,92.811,11.68004567,834.6819751,99.34359781,-0.046428489
6/7/2010,66.22516556,642.98,18.35,88.786,4.773357471,254.4812974,273.4395628,-0.364809062
7/7/2010,105.8434399,346.2,36.62,-4.197,20.50332672,36.95308546,19.20306656,-0.002735783
8/7/2010,222.83508,67.8,34.61,183.106,17.81734218,-2.917357144,93.1882569,-0.385784539
9/7/2010,86.20689655,112.18,-1.04,-74.634,8.558827521,78.46051447,404.3868364,-0.153407128
12/7/2010,0,48.64,23.51,277.929,-2.992871234,61.60996046,340.3076542,0.145676237
13/7/2010,0,-18.22,112.8,385.065,21.49901035,-61.91120907,70.64564565,-0.238934868
14/7/2010,0,305.17,20.59,171.1,-10.30219326,65.05549054,48.75856433,-0.074465484
15/7/2010,0,-24.08,-5.07,167.431,2.276793907,-465.7279712,69.9513498,0.147754721
16/7/2010,143.7735014,152.89,38.03,392.818,26.76172271,-55.71157935,388.9414196,0.359043439
19/7/2010,48.54368932,-110.06,119.85,-102.205,10.64376317,104.8487669,-141.5898112,0.153192365
20/7/2010,25.42841349,-139.34,10.31,207.743,-17.45121132,61.00475666,64.37678163,-0.212300084
21/7/2010,35.36302354,124.29,90.58,-3.722,57.35607418,-74.9201042,-76.47880764,-0.191374774
22/7/2010,5.524861878,28.33,-0.8,-7.795,-26.36439568,-120.253731,311.7764093,-0.114776725
23/7/2010,34.2920354,22.04,21.87,580.681,21.27032539,-127.5738512,250.073132,-0.036996968
26/7/2010,23.25581395,-124.33,0,-38.204,7.588964774,-326.106383,-297.5779888,-0.205618087
27/7/2010,-5.546311703,5.64,42.07,-51.458,-15.0850171,-132.8915259,195.6229721,-0.289909241
28/7/2010,44.41483455,-118.72,15.03,-79.731,-123.8641389,341.9304745,8.853980721,0.121017049
29/7/2010,194.7257149,227.91,67.15,203.086,64.6332089,169.9112467,95.7270533,0.047568119
30/7/2010,36.87562856,-78,163.01,64.12,25.89548061,250.7147512,170.7608625,-0.252625591
2/8/2010,0,342.22,9.72,-29.831,-55.16747719,406.6951833,-77.60195975,-0.370516316
3/8/2010,256.1234761,-24.13,133,80.177,19.07205467,417.0807959,-65.22155768,-0.021922658
4/8/2010,0,25.74,21.54,199.717,148.9190608,296.9736853,-7.023046952,-0.061985813
5/8/2010,308.7939136,189.1,119.85,133.264,1.979295484,838.6798533,-35.21675919,-0.041310885
6/8/2010,-50.33557047,-12.05,102.26,-230.223,-8.768649313,118.1761777,1002.530887,0.135407125
9/8/2010,0,50.92,99.87,0,73.22021403,178.2245538,43.65516091,-0.101718411
10/8/2010,163.07383,-21.84,90.11,36.776,102.42484,-446.0358826,285.3331564,0.309979864
11/8/2010,0,64.45,46.11,-16.757,-137.4862228,194.3392668,-70.82022977,0.28352843
12/8/2010,-17.76790672,-129.32,0,69.411,149.2035543,70.23944104,12.59615385,0.078302809
13/8/2010,28.95967922,87.25,0,19.573,-100.887265,656.2825331,152.3292123,0.056156015
16/8/2010,-130.2895323,39.06,100.39,109.898,93.98368575,401.7460975,-117.6267912,-0.122991051
17/8/2010,0,160.37,16.75,280.158,-35.54656151,108.5688212,-17.89191662,-0.365875644
18/8/2010,33.44854499,0,86.18,-181.912,37.91970803,165.2753175,23.34954149,-0.044505087
19/8/2010,-1.115573405,11.89,89.01,-22.902,-50.02787795,-1247.941026,247.6067438,0.313682596
20/8/2010,-12.25899922,-31.55,52.36,171.924,0,-214.94643,251.8810932,0.123314681
23/8/2010,33.44481605,0,0,-44.798,67.03324137,356.4249156,314.5458555,0.26649114
24/8/2010,-36.74832962,41.18,82.13,548.204,-105.739695,-80.52475209,504.0042881,0.256415495
25/8/2010,4.456327986,-37.47,23.98,28.377,-127.1738466,212.5887528,208.6942756,0.26175177
26/8/2010,177.9359431,-57.47,34.31,294.966,60.94459896,-682.7404812,173.2309746,-0.227239435
27/8/2010,-23.29192547,-115.41,161.21,-6.705,52.36968014,37.3625024,921.0069165,0.040503712
30/8/2010,0,144.05,148.66,-16.755,-56.9688173,10.41801525,-80.78702237,0.287125872
31/8/2010,-88.44665561,-291.63,145.85,320.173,-1.580283431,-66.53920994,-76.78814552,0.146496257
1/9/2010,0,166.21,200.85,207.515,113.3692376,195.490331,7.304639608,-0.455500238
