,period,variable,value,new_period
1,2010-08-20,Short Term,12.1340459,20/8/2010 8:00
2,2010-08-23,Short Term,12.44467983,23/8/2010 8:00
3,2010-08-24,Short Term,12.4580214,24/8/2010 8:00
4,2010-08-25,Short Term,11.97622248,25/8/2010 8:00
5,2010-08-26,Short Term,12.41415088,26/8/2010 8:00
6,2010-08-27,Short Term,12.0172541,27/8/2010 8:00
7,2010-08-30,Short Term,11.31553682,30/8/2010 8:00
8,2010-08-31,Short Term,11.54160231,31/8/2010 8:00
9,2010-09-01,Short Term,11.52281653,1/9/2010 8:00
10,2010-09-02,Short Term,10.3893413,2/9/2010 8:00
11,2010-09-03,Short Term,11.60406015,3/9/2010 8:00
12,2010-09-07,Short Term,12.42749234,7/9/2010 8:00
13,2010-09-08,Short Term,12.62446897,8/9/2010 8:00
14,2010-09-09,Short Term,12.73570648,9/9/2010 8:00
15,2010-09-10,Short Term,13.26597247,10/9/2010 8:00
16,2010-09-13,Short Term,13.40391064,13/9/2010 8:00
17,2010-09-14,Short Term,13.63718272,14/9/2010 8:00
18,2010-09-15,Short Term,13.79570837,15/9/2010 8:00
19,2010-09-16,Short Term,13.8484403,16/9/2010 8:00
20,2010-09-17,Short Term,12.96252011,17/9/2010 8:00
21,2010-09-20,Short Term,12.65533221,20/9/2010 8:00
22,2010-09-21,Short Term,12.69485904,21/9/2010 8:00
23,2010-09-22,Short Term,12.69139389,22/9/2010 8:00
24,2010-09-23,Short Term,12.55249319,23/9/2010 8:00
25,2010-09-24,Short Term,12.5112074,24/9/2010 8:00
26,2010-09-27,Short Term,12.83129425,27/9/2010 8:00
27,2010-09-28,Short Term,13.09486527,28/9/2010 8:00
28,2010-09-29,Short Term,12.03331248,29/9/2010 8:00
29,2010-09-30,Short Term,13.47184163,30/9/2010 8:00
30,2010-10-01,Short Term,12.69769882,1/10/2010 8:00
31,2010-10-04,Short Term,12.69547722,4/10/2010 8:00
32,2010-10-05,Short Term,12.38825391,5/10/2010 8:00
33,2010-10-06,Short Term,12.65918572,6/10/2010 8:00
34,2010-10-07,Short Term,12.68176467,7/10/2010 8:00
35,2010-10-08,Short Term,13.58503949,8/10/2010 8:00
36,2010-10-12,Short Term,17.56559838,12/10/2010 8:00
37,2010-10-13,Short Term,18.05069007,13/10/2010 8:00
38,2010-10-14,Short Term,17.64945744,14/10/2010 8:00
39,2010-10-15,Short Term,16.76939676,15/10/2010 8:00
40,2010-10-18,Short Term,16.67184996,18/10/2010 8:00
