,period,variable,value
1,2010-08-20,Short Term,9.955418326
2,2010-08-23,Short Term,10.31338255
3,2010-08-24,Short Term,10.54428056
4,2010-08-25,Short Term,10.08689915
5,2010-08-26,Short Term,10.65671499
6,2010-08-27,Short Term,10.22021917
7,2010-08-30,Short Term,9.687552934
8,2010-08-31,Short Term,9.802382922
9,2010-09-01,Short Term,9.803326964
10,2010-09-02,Short Term,8.908849551
11,2010-09-03,Short Term,10.38818288
12,2010-09-07,Short Term,10.83493951
13,2010-09-08,Short Term,10.84025997
14,2010-09-09,Short Term,11.06787996
15,2010-09-10,Short Term,11.72875456
16,2010-09-13,Short Term,11.97699369
17,2010-09-14,Short Term,12.45862167
18,2010-09-15,Short Term,12.45456185
19,2010-09-16,Short Term,12.55801435
20,2010-09-17,Short Term,11.84455416
21,2010-09-20,Short Term,11.72301373
22,2010-09-21,Short Term,11.5652077
23,2010-09-22,Short Term,11.55650642
24,2010-09-23,Short Term,11.55625787
25,2010-09-24,Short Term,11.65769049
26,2010-09-27,Short Term,12.18700103
27,2010-09-28,Short Term,12.76186757
28,2010-09-29,Short Term,12.04609294
29,2010-09-30,Short Term,13.67639327
30,2010-10-01,Short Term,12.63921239
31,2010-10-04,Short Term,12.45733227
32,2010-10-05,Short Term,11.85948253
33,2010-10-06,Short Term,12.08250877
34,2010-10-07,Short Term,11.90879038
35,2010-10-08,Short Term,12.8510791
36,2010-10-12,Short Term,17.32273885
37,2010-10-13,Short Term,18.25052856
38,2010-10-14,Short Term,18.0904799
39,2010-10-15,Short Term,16.88099002
40,2010-10-18,Short Term,16.99831936
41,2010-10-19,Short Term,17.15408958
42,2010-10-20,Short Term,17.1185916
43,2010-10-21,Short Term,16.98954955
44,2010-10-22,Short Term,17.50579845
45,2010-10-25,Short Term,17.22009103
46,2010-10-26,Short Term,17.27570617
47,2010-10-27,Short Term,17.14221254
48,2010-10-28,Short Term,16.92920472
49,2010-10-29,Short Term,16.44063227
50,2010-11-01,Short Term,17.39075508
51,2010-11-02,Short Term,16.5866377
52,2010-11-03,Short Term,16.3159063
53,2010-11-04,Short Term,16.034618
54,2010-11-05,Short Term,16.16855424
55,2010-11-08,Short Term,15.95970979
56,2010-11-09,Short Term,15.91081903
57,2010-11-10,Short Term,16.23433207
58,2010-11-12,Short Term,16.03983256
59,2010-11-15,Short Term,15.49151973
60,2010-11-16,Short Term,15.19546945
61,2010-11-17,Short Term,15.43898509
62,2010-11-18,Short Term,15.32459471
63,2010-11-19,Short Term,14.72592224
64,2010-11-22,Short Term,14.79915299
65,2010-11-23,Short Term,14.33573443
66,2010-11-24,Short Term,14.83822729
67,2010-11-26,Short Term,14.61951798
68,2010-11-29,Short Term,13.9054579
69,2010-11-30,Short Term,13.8006129
70,2010-12-01,Short Term,14.03155353
71,2010-12-02,Short Term,14.25357879
72,2010-12-03,Short Term,13.78575499
73,2010-12-06,Short Term,13.75883667
74,2010-12-07,Short Term,14.08858141
75,2010-12-08,Short Term,13.1292183
76,2010-12-09,Short Term,13.77821516
77,2010-12-10,Short Term,13.4665897
78,2010-12-13,Short Term,13.37614549
79,2010-12-14,Short Term,13.02118256
80,2010-12-15,Short Term,13.06270852
81,2010-12-16,Short Term,13.43771825
82,2010-12-17,Short Term,13.23044292
83,2010-12-20,Short Term,13.02262716
84,2010-12-21,Short Term,13.50017573
85,2010-12-22,Short Term,12.94084276
86,2010-12-23,Short Term,12.16291755
87,2010-12-27,Short Term,12.68505712
88,2010-12-28,Short Term,12.77545234
89,2010-12-29,Short Term,12.62687592
90,2010-12-30,Short Term,13.07876489
91,2011-01-03,Short Term,13.60543566
92,2011-01-04,Short Term,14.71209534
93,2011-01-05,Short Term,13.80459769
94,2011-01-06,Short Term,15.3180084
95,2011-01-07,Short Term,18.83890123
96,2011-01-10,Short Term,12.65279245
97,2011-01-11,Short Term,12.43127403
98,2011-01-12,Short Term,11.46250709
99,2011-01-13,Short Term,11.62599859
100,2011-01-14,Short Term,11.41278698
101,2011-01-18,Short Term,10.61924715
102,2011-01-19,Short Term,10.73394117
103,2011-01-20,Short Term,10.54918314
104,2011-01-21,Short Term,11.4697843
105,2011-01-24,Short Term,11.31008395
106,2011-01-25,Short Term,11.60160118
107,2011-01-26,Short Term,11.64384382
108,2011-01-27,Short Term,11.62304007
109,2011-01-28,Short Term,11.36992853
110,2011-01-31,Short Term,11.55600273
111,2011-02-01,Short Term,11.25889053
112,2011-02-02,Short Term,12.49358758
113,2011-02-03,Short Term,12.64510477
114,2011-02-04,Short Term,12.82996748
115,2011-02-07,Short Term,12.8583657
116,2011-02-08,Short Term,12.8010171
117,2011-02-09,Short Term,12.32514839
118,2011-02-10,Short Term,12.40290427
119,2011-02-11,Short Term,11.41741471
120,2011-02-14,Short Term,11.59289213
121,2011-02-15,Short Term,11.24626633
122,2011-02-16,Short Term,11.15814917
123,2011-02-17,Short Term,11.01821512
124,2011-02-18,Short Term,10.51793618
125,2011-02-22,Short Term,10.56934617
126,2011-02-23,Short Term,10.91651814
127,2011-02-24,Short Term,10.57979439
128,2011-02-25,Short Term,11.89890919
129,2011-02-28,Short Term,12.85506725
130,2011-03-01,Short Term,13.36833533
131,2011-03-02,Short Term,13.42517437
132,2011-03-03,Short Term,13.20400029
133,2011-03-04,Short Term,13.27488645
134,2011-03-07,Short Term,13.04593735
135,2011-03-08,Short Term,13.0862283
136,2011-03-09,Short Term,13.39385635
137,2011-03-10,Short Term,12.94360178
138,2011-03-11,Short Term,12.91624168
139,2011-03-14,Short Term,13.03108197
140,2011-03-15,Short Term,12.79155688
141,2011-03-16,Short Term,12.76559028
142,2011-03-17,Short Term,12.50746986
143,2011-03-18,Short Term,11.74929916
144,2011-03-21,Short Term,11.67983165
145,2011-03-22,Short Term,11.56437132
146,2011-03-23,Short Term,11.58105913
147,2011-03-24,Short Term,10.67389274
148,2011-03-25,Short Term,9.845881259
149,2011-03-28,Short Term,9.876718835
150,2011-03-29,Short Term,9.789991535
151,2011-03-30,Short Term,9.886410168
152,2011-03-31,Short Term,10.14967326
153,2011-04-01,Short Term,10.04552828
154,2011-04-04,Short Term,9.902711278
155,2011-04-05,Short Term,10.16743708
156,2011-04-06,Short Term,9.786149529
157,2011-04-07,Short Term,9.979491139
158,2011-04-08,Short Term,9.988139601
159,2011-04-11,Short Term,10.30249258
160,2011-04-12,Short Term,10.29170086
161,2011-04-13,Short Term,10.01795765
162,2011-04-14,Short Term,9.73006444
163,2011-04-15,Short Term,9.8441939
164,2011-04-18,Short Term,9.72749623
165,2011-04-19,Short Term,9.55690535
166,2011-04-20,Short Term,9.744971957
167,2011-04-21,Short Term,10.06391798
168,2011-04-22,Short Term,9.639834931
169,2011-04-25,Short Term,9.578996439
170,2011-04-26,Short Term,9.606032567
171,2011-04-27,Short Term,9.515701668
172,2011-04-28,Short Term,9.4295797
173,2011-04-29,Short Term,9.35959201
