,period,variable,value,new_period
1,2008-05-19,Short Term,10.13155201,19/5/2008 8:00
2,2008-05-20,Short Term,10.54861098,20/5/2008 8:00
3,2008-05-21,Short Term,9.727869228,21/5/2008 8:00
4,2008-05-22,Short Term,9.608991511,22/5/2008 8:00
5,2008-05-23,Short Term,9.440518324,23/5/2008 8:00
6,2008-05-26,Short Term,9.390626592,26/5/2008 8:00
7,2008-05-27,Short Term,9.339756585,27/5/2008 8:00
8,2008-05-28,Short Term,9.428238577,28/5/2008 8:00
9,2008-05-29,Short Term,9.588485812,29/5/2008 8:00
10,2008-05-30,Short Term,9.465171203,30/5/2008 8:00
11,2008-06-02,Short Term,9.462749747,2/6/2008 8:00
12,2008-06-03,Short Term,8.891325805,3/6/2008 8:00
13,2008-06-04,Short Term,8.729155577,4/6/2008 8:00
14,2008-06-05,Short Term,8.80166389,5/6/2008 8:00
15,2008-06-06,Short Term,9.070217351,6/6/2008 8:00
16,2008-06-09,Short Term,8.727378686,9/6/2008 8:00
17,2008-06-10,Short Term,8.654575589,10/6/2008 8:00
18,2008-06-11,Short Term,8.170755193,11/6/2008 8:00
19,2008-06-12,Short Term,7.529899449,12/6/2008 8:00
20,2008-06-13,Short Term,8.043509759,13/6/2008 8:00
21,2008-06-16,Short Term,9.611657965,16/6/2008 8:00
22,2008-06-17,Short Term,9.118819606,17/6/2008 8:00
23,2008-06-18,Short Term,9.194540387,18/6/2008 8:00
24,2008-06-19,Short Term,8.620951151,19/6/2008 8:00
25,2008-06-20,Short Term,8.350409453,20/6/2008 8:00
26,2008-06-23,Short Term,8.514624211,23/6/2008 8:00
27,2008-06-24,Short Term,8.291650299,24/6/2008 8:00
28,2008-06-25,Short Term,8.014580243,25/6/2008 8:00
29,2008-06-26,Short Term,8.066172393,26/6/2008 8:00
30,2008-06-27,Short Term,9.948170415,27/6/2008 8:00
31,2008-06-30,Short Term,9.227223853,30/6/2008 8:00
32,2008-07-01,Short Term,9.604963255,1/7/2008 8:00
33,2008-07-02,Short Term,9.64853208,2/7/2008 8:00
34,2008-07-03,Short Term,10.77199005,3/7/2008 8:00
35,2008-07-04,Short Term,10.75033534,4/7/2008 8:00
36,2008-07-07,Short Term,10.92771684,7/7/2008 8:00
37,2008-07-08,Short Term,10.86157884,8/7/2008 8:00
38,2008-07-09,Short Term,11.15900161,9/7/2008 8:00
39,2008-07-10,Short Term,10.93770209,10/7/2008 8:00
40,2008-07-11,Short Term,11.27981075,11/7/2008 8:00
41,2008-07-14,Short Term,10.93032906,14/7/2008 8:00
42,2008-07-15,Short Term,10.78963998,15/7/2008 8:00
43,2008-07-16,Short Term,10.74283981,16/7/2008 8:00
44,2008-07-17,Short Term,11.0342556,17/7/2008 8:00
45,2008-07-18,Short Term,11.37469826,18/7/2008 8:00
46,2008-07-21,Short Term,11.26869426,21/7/2008 8:00
47,2008-07-22,Short Term,11.36427949,22/7/2008 8:00
48,2008-07-23,Short Term,11.01503829,23/7/2008 8:00
49,2008-07-24,Short Term,11.72661067,24/7/2008 8:00
50,2008-07-25,Short Term,11.44731329,25/7/2008 8:00
51,2008-07-28,Short Term,10.71895415,28/7/2008 8:00
52,2008-07-29,Short Term,10.76150292,29/7/2008 8:00
53,2008-07-30,Short Term,10.85850969,30/7/2008 8:00
54,2008-07-31,Short Term,11.13089514,31/7/2008 8:00
55,2008-08-01,Short Term,11.03569114,1/8/2008 8:00
56,2008-08-04,Short Term,10.74592314,4/8/2008 8:00
57,2008-08-05,Short Term,10.89295619,5/8/2008 8:00
58,2008-08-06,Short Term,11.54570489,6/8/2008 8:00
59,2008-08-07,Short Term,10.15681253,7/8/2008 8:00
60,2008-08-08,Short Term,10.4192715,8/8/2008 8:00
61,2008-08-11,Short Term,10.57710278,11/8/2008 8:00
62,2008-08-12,Short Term,10.7226001,12/8/2008 8:00
63,2008-08-13,Short Term,10.65262894,13/8/2008 8:00
64,2008-08-14,Short Term,10.68352546,14/8/2008 8:00
65,2008-08-15,Short Term,10.53291937,15/8/2008 8:00
66,2008-08-18,Short Term,11.47961952,18/8/2008 8:00
67,2008-08-19,Short Term,11.37813302,19/8/2008 8:00
68,2008-08-20,Short Term,11.51374216,20/8/2008 8:00
69,2008-08-21,Short Term,11.52668969,21/8/2008 8:00
70,2008-08-22,Short Term,11.26673273,22/8/2008 8:00
71,2008-08-25,Short Term,10.94941261,25/8/2008 8:00
72,2008-08-26,Short Term,10.81261801,26/8/2008 8:00
73,2008-08-27,Short Term,10.74054652,27/8/2008 8:00
74,2008-08-28,Short Term,10.56297212,28/8/2008 8:00
75,2008-08-29,Short Term,10.61290466,29/8/2008 8:00
76,2008-09-01,Short Term,10.67024674,1/9/2008 8:00
77,2008-09-02,Short Term,10.90105893,2/9/2008 8:00
78,2008-09-03,Short Term,10.80402226,3/9/2008 8:00
79,2008-09-04,Short Term,10.91838242,4/9/2008 8:00
80,2008-09-05,Short Term,10.76424489,5/9/2008 8:00
81,2008-09-08,Short Term,11.42376096,8/9/2008 8:00
82,2008-09-09,Short Term,11.04077421,9/9/2008 8:00
83,2008-09-10,Short Term,12.17051332,10/9/2008 8:00
84,2008-09-11,Short Term,12.07064877,11/9/2008 8:00
85,2008-09-12,Short Term,12.85672523,12/9/2008 8:00
86,2008-09-15,Short Term,11.97068183,15/9/2008 8:00
87,2008-09-16,Short Term,12.20096998,16/9/2008 8:00
88,2008-09-17,Short Term,12.2249706,17/9/2008 8:00
89,2008-09-18,Short Term,12.22958913,18/9/2008 8:00
90,2008-09-19,Short Term,14.67701947,19/9/2008 8:00
91,2008-09-22,Short Term,13.78341718,22/9/2008 8:00
92,2008-09-23,Short Term,13.66507425,23/9/2008 8:00
93,2008-09-24,Short Term,13.33362911,24/9/2008 8:00
94,2008-09-25,Short Term,13.76907209,25/9/2008 8:00
95,2008-09-26,Short Term,14.69206743,26/9/2008 8:00
96,2008-09-29,Short Term,14.53395582,29/9/2008 8:00
97,2008-09-30,Short Term,13.83976068,30/9/2008 8:00
98,2008-10-01,Short Term,13.91797872,1/10/2008 8:00
99,2008-10-02,Short Term,14.15494493,2/10/2008 8:00
100,2008-10-03,Short Term,14.21834618,3/10/2008 8:00
101,2008-10-06,Short Term,14.89939448,6/10/2008 8:00
102,2008-10-07,Short Term,14.46092258,7/10/2008 8:00
103,2008-10-08,Short Term,11.31727895,8/10/2008 8:00
104,2008-10-09,Short Term,14.36037118,9/10/2008 8:00
105,2008-10-10,Short Term,15.36930703,10/10/2008 8:00
106,2008-10-13,Short Term,13.33167784,13/10/2008 8:00
107,2008-10-14,Short Term,14.32327893,14/10/2008 8:00
108,2008-10-15,Short Term,15.11262726,15/10/2008 8:00
109,2008-10-16,Short Term,15.90662095,16/10/2008 8:00
110,2008-10-17,Short Term,15.34276964,17/10/2008 8:00
111,2008-10-20,Short Term,15.37786229,20/10/2008 8:00
112,2008-10-21,Short Term,15.62969021,21/10/2008 8:00
113,2008-10-22,Short Term,16.4482179,22/10/2008 8:00
114,2008-10-23,Short Term,16.46538478,23/10/2008 8:00
115,2008-10-24,Short Term,16.58868894,24/10/2008 8:00
116,2008-10-27,Short Term,16.27371379,27/10/2008 8:00
117,2008-10-28,Short Term,16.48697173,28/10/2008 8:00
118,2008-10-29,Short Term,16.92741043,29/10/2008 8:00
119,2008-10-30,Short Term,16.92771668,30/10/2008 8:00
120,2008-10-31,Short Term,18.41972301,31/10/2008 8:00
121,2008-11-03,Short Term,17.15786416,3/11/2008 8:00
122,2008-11-04,Short Term,16.81212888,4/11/2008 8:00
123,2008-11-05,Short Term,17.58453598,5/11/2008 8:00
124,2008-11-06,Short Term,17.43589516,6/11/2008 8:00
125,2008-11-07,Short Term,17.50143918,7/11/2008 8:00
126,2008-11-10,Short Term,17.6737853,10/11/2008 8:00
127,2008-11-11,Short Term,17.31659764,11/11/2008 8:00
128,2008-11-12,Short Term,16.81075245,12/11/2008 8:00
129,2008-11-13,Short Term,16.95096447,13/11/2008 8:00
130,2008-11-14,Short Term,16.23289978,14/11/2008 8:00
131,2008-11-17,Short Term,16.51560658,17/11/2008 8:00
132,2008-11-18,Short Term,16.00105738,18/11/2008 8:00
133,2008-11-19,Short Term,16.00637778,19/11/2008 8:00
134,2008-11-20,Short Term,16.28365261,20/11/2008 8:00
135,2008-11-21,Short Term,15.99143515,21/11/2008 8:00
136,2008-11-24,Short Term,16.23905409,24/11/2008 8:00
137,2008-11-25,Short Term,16.23302518,25/11/2008 8:00
138,2008-11-26,Short Term,15.64768142,26/11/2008 8:00
139,2008-11-27,Short Term,15.77874958,27/11/2008 8:00
140,2008-11-28,Short Term,18.35301226,28/11/2008 8:00
141,2008-12-01,Short Term,17.84257019,1/12/2008 8:00
142,2008-12-02,Short Term,16.87612686,2/12/2008 8:00
143,2008-12-03,Short Term,17.19902728,3/12/2008 8:00
144,2008-12-04,Short Term,16.78493082,4/12/2008 8:00
145,2008-12-05,Short Term,16.71778543,5/12/2008 8:00
146,2008-12-08,Short Term,16.63729594,8/12/2008 8:00
147,2008-12-09,Short Term,15.03394916,9/12/2008 8:00
148,2008-12-10,Short Term,15.81658295,10/12/2008 8:00
149,2008-12-11,Short Term,19.76976678,11/12/2008 8:00
150,2008-12-12,Short Term,19.65565026,12/12/2008 8:00
151,2008-12-15,Short Term,19.39391056,15/12/2008 8:00
152,2008-12-16,Short Term,19.21734257,16/12/2008 8:00
153,2008-12-17,Short Term,19.31172595,17/12/2008 8:00
154,2008-12-18,Short Term,22.85010621,18/12/2008 8:00
155,2008-12-19,Short Term,22.49185821,19/12/2008 8:00
156,2008-12-22,Short Term,15.60791051,22/12/2008 8:00
157,2008-12-23,Short Term,14.61262615,23/12/2008 8:00
158,2008-12-24,Short Term,13.5172396,24/12/2008 8:00
159,2008-12-25,Short Term,13.49944175,25/12/2008 8:00
160,2008-12-26,Short Term,13.22261043,26/12/2008 8:00
161,2008-12-29,Short Term,13.44271415,29/12/2008 8:00
162,2008-12-30,Short Term,13.39943354,30/12/2008 8:00
163,2008-12-31,Short Term,13.3335514,31/12/2008 8:00
164,2009-01-02,Short Term,13.20070295,2/1/2009 8:00
165,2009-01-05,Short Term,12.93396901,5/1/2009 8:00
166,2009-01-06,Short Term,13.36463058,6/1/2009 8:00
167,2009-01-07,Short Term,12.89177518,7/1/2009 8:00
168,2009-01-08,Short Term,13.38270589,8/1/2009 8:00
169,2009-01-09,Short Term,12.48768171,9/1/2009 8:00
170,2009-01-12,Short Term,12.40665825,12/1/2009 8:00
171,2009-01-13,Short Term,12.51426521,13/1/2009 8:00
172,2009-01-14,Short Term,12.64782343,14/1/2009 8:00
173,2009-01-15,Short Term,12.70033184,15/1/2009 8:00
174,2009-01-16,Short Term,12.48288597,16/1/2009 8:00
175,2009-01-21,Short Term,12.21765112,21/1/2009 8:00
176,2009-01-22,Short Term,12.86522149,22/1/2009 8:00
177,2009-01-23,Short Term,12.96999436,23/1/2009 8:00
178,2009-01-26,Short Term,13.21719958,26/1/2009 8:00
179,2009-01-27,Short Term,13.29303674,27/1/2009 8:00
180,2009-01-28,Short Term,13.98172185,28/1/2009 8:00
181,2009-01-29,Short Term,13.89516242,29/1/2009 8:00
182,2009-01-30,Short Term,13.78119477,30/1/2009 8:00
183,2009-02-02,Short Term,13.45632045,2/2/2009 8:00
184,2009-02-03,Short Term,14.22276675,3/2/2009 8:00
185,2009-02-04,Short Term,14.64664428,4/2/2009 8:00
186,2009-02-05,Short Term,14.59399452,5/2/2009 8:00
187,2009-02-06,Short Term,14.21677554,6/2/2009 8:00
188,2009-02-09,Short Term,12.39173652,9/2/2009 8:00
189,2009-02-10,Short Term,12.89489374,10/2/2009 8:00
190,2009-02-11,Short Term,13.01850028,11/2/2009 8:00
191,2009-02-12,Short Term,12.73898343,12/2/2009 8:00
192,2009-02-13,Short Term,12.88559987,13/2/2009 8:00
193,2009-02-17,Short Term,12.93769062,17/2/2009 8:00
194,2009-02-18,Short Term,12.84099937,18/2/2009 8:00
195,2009-02-19,Short Term,13.02185817,19/2/2009 8:00
196,2009-02-20,Short Term,13.25224607,20/2/2009 8:00
197,2009-02-23,Short Term,13.15038732,23/2/2009 8:00
198,2009-02-24,Short Term,12.89547796,24/2/2009 8:00
199,2009-02-25,Short Term,12.88853406,25/2/2009 8:00
200,2009-02-26,Short Term,13.09272548,26/2/2009 8:00
201,2009-02-27,Short Term,13.28444802,27/2/2009 8:00
202,2009-03-02,Short Term,12.63267186,2/3/2009 8:00
203,2009-03-03,Short Term,11.46996899,3/3/2009 8:00
204,2009-03-04,Short Term,11.5844509,4/3/2009 8:00
205,2009-03-05,Short Term,11.30327505,5/3/2009 8:00
206,2009-03-06,Short Term,11.85526599,6/3/2009 8:00
207,2009-03-09,Short Term,11.75089855,9/3/2009 8:00
208,2009-03-10,Short Term,12.01312584,10/3/2009 8:00
209,2009-03-11,Short Term,12.25343422,11/3/2009 8:00
210,2009-03-12,Short Term,12.56177758,12/3/2009 8:00
211,2009-03-13,Short Term,12.14762229,13/3/2009 8:00
212,2009-03-16,Short Term,12.43424821,16/3/2009 8:00
213,2009-03-17,Short Term,12.24337367,17/3/2009 8:00
214,2009-03-18,Short Term,16.44993422,18/3/2009 8:00
215,2009-03-19,Short Term,14.80186711,19/3/2009 8:00
216,2009-03-20,Short Term,12.33700958,20/3/2009 8:00
217,2009-03-23,Short Term,11.88092015,23/3/2009 8:00
218,2009-03-24,Short Term,9.980930667,24/3/2009 8:00
219,2009-03-25,Short Term,9.940268046,25/3/2009 8:00
220,2009-03-26,Short Term,11.43803122,26/3/2009 8:00
221,2009-03-27,Short Term,12.16133248,27/3/2009 8:00
222,2009-03-30,Short Term,11.85998883,30/3/2009 8:00
223,2009-03-31,Short Term,11.90420582,31/3/2009 8:00
224,2009-04-01,Short Term,12.0196237,1/4/2009 8:00
225,2009-04-02,Short Term,12.68931842,2/4/2009 8:00
226,2009-04-03,Short Term,12.71204784,3/4/2009 8:00
227,2009-04-06,Short Term,12.85251487,6/4/2009 8:00
228,2009-04-07,Short Term,12.70573684,7/4/2009 8:00
229,2009-04-08,Short Term,12.97613214,8/4/2009 8:00
230,2009-04-09,Short Term,13.11737521,9/4/2009 8:00
231,2009-04-10,Short Term,13.12226737,10/4/2009 8:00
232,2009-04-13,Short Term,12.91673146,13/4/2009 8:00
233,2009-04-14,Short Term,12.80549532,14/4/2009 8:00
234,2009-04-15,Short Term,13.07477293,15/4/2009 8:00
235,2009-04-16,Short Term,13.29455596,16/4/2009 8:00
236,2009-04-17,Short Term,13.34264868,17/4/2009 8:00
237,2009-04-20,Short Term,13.33467273,20/4/2009 8:00
238,2009-04-21,Short Term,10.44272227,21/4/2009 8:00
239,2009-04-22,Short Term,10.14167178,22/4/2009 8:00
240,2009-04-23,Short Term,9.57205522,23/4/2009 8:00
241,2009-04-24,Short Term,11.9958936,24/4/2009 8:00
242,2009-04-27,Short Term,13.53227417,27/4/2009 8:00
243,2009-04-28,Short Term,13.5825221,28/4/2009 8:00
244,2009-04-29,Short Term,12.80953022,29/4/2009 8:00
245,2009-04-30,Short Term,14.83136074,30/4/2009 8:00
246,2009-05-01,Short Term,12.20748793,1/5/2009 8:00
247,2009-05-04,Short Term,14.33422076,4/5/2009 8:00
248,2009-05-05,Short Term,12.75818288,5/5/2009 8:00
249,2009-05-06,Short Term,12.82489493,6/5/2009 8:00
250,2009-05-07,Short Term,13.2823995,7/5/2009 8:00
251,2009-05-08,Short Term,12.95343701,8/5/2009 8:00
252,2009-05-11,Short Term,12.8492709,11/5/2009 8:00
