,period,variable,value,new_period
1,2008-05-19,Short Term,8.338559452,19/5/2008 8:00
2,2008-05-20,Short Term,8.831838728,20/5/2008 8:00
3,2008-05-21,Short Term,8.187217269,21/5/2008 8:00
4,2008-05-22,Short Term,7.938267983,22/5/2008 8:00
5,2008-05-23,Short Term,7.780877129,23/5/2008 8:00
6,2008-05-26,Short Term,7.978520198,26/5/2008 8:00
7,2008-05-27,Short Term,7.988416895,27/5/2008 8:00
8,2008-05-28,Short Term,7.970690383,28/5/2008 8:00
9,2008-05-29,Short Term,7.900311996,29/5/2008 8:00
10,2008-05-30,Short Term,7.797551931,30/5/2008 8:00
11,2008-06-02,Short Term,7.754600569,2/6/2008 8:00
12,2008-06-03,Short Term,7.134789762,3/6/2008 8:00
13,2008-06-04,Short Term,7.224823031,4/6/2008 8:00
14,2008-06-05,Short Term,7.604110939,5/6/2008 8:00
15,2008-06-06,Short Term,7.853939036,6/6/2008 8:00
16,2008-06-09,Short Term,7.683832742,9/6/2008 8:00
17,2008-06-10,Short Term,8.004009378,10/6/2008 8:00
18,2008-06-11,Short Term,7.8414439,11/6/2008 8:00
19,2008-06-12,Short Term,7.530893465,12/6/2008 8:00
20,2008-06-13,Short Term,7.7071254,13/6/2008 8:00
21,2008-06-16,Short Term,7.987636135,16/6/2008 8:00
22,2008-06-17,Short Term,7.569697045,17/6/2008 8:00
23,2008-06-18,Short Term,7.479429223,18/6/2008 8:00
24,2008-06-19,Short Term,6.485001768,19/6/2008 8:00
25,2008-06-20,Short Term,6.579998678,20/6/2008 8:00
26,2008-06-23,Short Term,6.644105467,23/6/2008 8:00
27,2008-06-24,Short Term,6.554483637,24/6/2008 8:00
28,2008-06-25,Short Term,6.512095475,25/6/2008 8:00
29,2008-06-26,Short Term,6.460247941,26/6/2008 8:00
30,2008-06-27,Short Term,8.83619987,27/6/2008 8:00
31,2008-06-30,Short Term,7.941178496,30/6/2008 8:00
32,2008-07-01,Short Term,8.369822583,1/7/2008 8:00
33,2008-07-02,Short Term,8.331136091,2/7/2008 8:00
34,2008-07-03,Short Term,9.660088521,3/7/2008 8:00
35,2008-07-04,Short Term,9.721745833,4/7/2008 8:00
36,2008-07-07,Short Term,9.634949284,7/7/2008 8:00
37,2008-07-08,Short Term,9.698698899,8/7/2008 8:00
38,2008-07-09,Short Term,9.832690125,9/7/2008 8:00
39,2008-07-10,Short Term,9.825609963,10/7/2008 8:00
40,2008-07-11,Short Term,9.934125798,11/7/2008 8:00
41,2008-07-14,Short Term,9.779078821,14/7/2008 8:00
42,2008-07-15,Short Term,9.612987773,15/7/2008 8:00
43,2008-07-16,Short Term,9.425243754,16/7/2008 8:00
44,2008-07-17,Short Term,9.754456994,17/7/2008 8:00
45,2008-07-18,Short Term,10.29430431,18/7/2008 8:00
46,2008-07-21,Short Term,10.25366588,21/7/2008 8:00
47,2008-07-22,Short Term,10.29863486,22/7/2008 8:00
48,2008-07-23,Short Term,10.06295621,23/7/2008 8:00
